,user_id,item_id,rating,timestamp
40158,354,513,4,875745631
20601,531,158,5,882956761
23791,514,157,4,885844395
41313,779,693,5,888478882
15089,237,227,4,875742437
17274,449,158,4,883873782
9220,377,247,5,875129791
51544,724,72,5,882389727
29856,450,104,4,883347023
25478,469,64,5,883700743
46739,53,207,4,883327472
33758,800,793,4,882404137
12162,360,236,5,883790491
19799,270,260,4,876503793
27318,583,265,5,891440330
28138,722,177,5,879441391
24122,402,731,4,882376584
30347,543,425,4,880923799
42383,660,285,5,892938181
45432,303,407,4,884900248
12938,390,611,4,887771853
8108,373,138,4,879648656
44842,837,246,4,886831374
51209,804,88,4,884121572
43900,772,741,4,878179411
42719,798,516,5,886608714
9234,384,289,5,882387731
1480,253,577,5,884583549
20557,128,301,5,891458193
25456,187,607,4,879304010
18582,327,461,5,877487309
21996,597,182,4,880139180
48727,750,119,5,891203309
7485,304,341,4,884992823
27254,20,591,4,878887186
30903,382,298,4,879700908
21265,161,209,5,892323452
20651,562,136,4,879530110
6770,306,201,4,881652377
9258,334,44,4,880045145
19442,37,60,4,881108280
40350,673,275,5,891208451
13491,237,205,4,875310784
23192,557,483,4,874964945
20100,389,22,4,884133084
1655,178,350,4,884129029
15154,454,245,4,888631208
5644,261,388,4,879519438
40949,580,756,4,888528955
8963,377,109,4,875129911
39330,813,145,5,891920166
49500,841,285,5,884801316
280,225,208,4,886474580
29145,138,749,4,884027206
19096,464,503,4,892660034
25084,114,1,4,876252327
40771,800,699,4,881625708
3113,266,106,4,882074726
466,5,397,4,883601713
13578,455,339,4,874873944
2901,29,117,4,881548030
23305,79,200,4,891383987
17573,493,776,4,891044411
15083,220,207,4,879572496
21838,350,228,4,881130076
1040,139,101,4,876767822
38310,570,9,5,891449123
36218,52,36,5,888204841
15384,372,88,5,893213644
13778,104,114,4,875384793
34093,387,243,5,880585068
29617,156,417,4,882826210
1329,3,321,4,892003525
23962,615,183,4,879546553
7942,291,372,5,876546920
14423,444,344,5,888635455
49308,584,383,5,891369982
7524,54,108,4,879372347
2150,198,216,5,891549657
33682,622,565,4,875726926
28982,485,513,4,879788533
15046,381,553,5,879442160
1878,6,20,5,891351121
46204,770,89,4,879305097
26629,132,421,5,879524669
34593,672,609,4,889298945
17795,52,70,5,888204260
8407,225,366,4,886472231
38682,797,259,5,891638757
12710,423,629,4,875978922
3272,240,380,4,885848802
39499,818,192,4,880844675
48082,750,546,4,891209364
46368,564,606,5,880117430
38037,795,548,5,880180784
18600,455,352,5,878044851
1745,66,296,4,888333329
35790,500,289,4,879975419
27040,453,767,4,887832433
25947,618,457,4,881177430
29487,648,740,5,877137213
33618,622,78,4,875727018
18297,499,8,4,876231468
47468,554,417,5,891308199
358,64,678,4,880035887
40681,64,177,5,880037881
30647,577,352,4,891447959
6918,253,51,5,877533419
24149,269,151,4,886323757
21863,20,180,4,878886449
26572,484,70,4,877107050
4252,31,285,5,891963290
13565,199,285,5,888081843
40173,411,44,4,879563064
10410,253,345,4,877534481
20349,425,642,4,887927152
19352,428,360,4,889388249
4014,11,136,5,879959138
39329,764,44,4,882812102
1689,15,82,4,877721905
14066,249,630,4,891701816
24985,127,225,4,888397946
40946,804,327,4,884122450
44084,685,418,4,891309391
42448,245,151,5,874792435
24867,279,766,4,884495001
32909,745,194,4,891033199
19543,517,523,5,880475149
15277,4,356,5,878844495
34171,137,50,5,880134296
43081,759,368,5,879695588
42687,793,20,5,881379566
35503,555,174,5,885954019
7007,177,259,4,883782879
1366,164,339,4,879023894
49045,176,373,4,884209188
36630,835,395,4,891191660
34347,772,445,4,888886846
2893,245,731,4,874792839
24048,335,157,5,880741811
36678,643,234,5,879793465
40923,724,752,4,882389908
2194,276,663,4,877887155
27607,203,330,4,880485330
14179,444,97,5,888633594
33817,372,80,4,876699102
4093,132,733,4,879543366
27676,129,7,4,877020297
38429,132,372,5,879524108
10403,339,176,5,891192888
32880,574,430,4,874777491
21090,584,44,5,891372232
2720,288,389,4,887819411
2964,6,9,4,891352864
2051,145,506,4,892738212
45050,585,70,4,878854051
37157,15,500,4,877726944
37146,817,181,4,880825052
31483,80,184,5,891438947
30430,612,50,4,888519077
32834,412,285,4,882910837
45385,750,498,4,891205321
26409,470,496,4,884635326
36187,373,638,4,880952880
33013,6,474,4,891353444
711,245,321,5,874787526
38589,286,519,4,891477924
19597,428,119,4,889398260
18776,296,64,5,877757910
16046,330,58,5,880396256
19072,478,104,4,888636374
19649,558,10,4,882669740
